method,dataset,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,path_soft_acc,path_discrete_acc,path_acc_gap,path_soft_loss,path_discrete_loss,path_loss_gap,train_time,epochs_to_target,time_to_target,unused_gate_ratio,gate_count,depth,fanout_max,soft_inference_samples_per_sec,discrete_inference_samples_per_sec,inference_bench_repeats,activation_inactive_gate_ratio,hard_runtime_domain,hard_runtime_audit_operations,hard_runtime_floating_tensor_count
block_relaxed,random_sparse10,1,0.4453125,0.3984375,0.046875,0.8298235535621643,200.4853973388672,199.65557378530502,0.4453125,0.3984375,0.046875,0.8298235535621643,200.4853973388672,199.65557378530502,2.2298174730094615,-1,-1.0,0.9765625,512,4,26,nan,nan,0,0.251953125,bool_int,39,0
block_hard_refit,random_sparse10,1,0.5625,0.859375,0.296875,16.034854888916016,19.986858367919922,3.9520034790039062,0.91796875,0.859375,0.05859375,0.8924335837364197,19.986858367919922,19.094424784183502,2.2989657940051984,-1,-1.0,0.986328125,512,4,26,nan,nan,0,0.271484375,bool_int,39,0
block_hard_task_refit,random_sparse10,1,0.5625,0.73828125,0.17578125,47.31209182739258,11.547441482543945,35.76465034484863,0.95703125,0.73828125,0.21875,0.32543453574180603,11.547441482543945,11.22200694680214,4.502614900993649,-1,-1.0,0.98046875,512,4,26,nan,nan,0,0.37890625,bool_int,39,0
dlgn,parity8,2,0.46875,0.609375,0.140625,1.2447285652160645,103.17915344238281,101.93442487716675,0.46875,0.609375,0.140625,1.2447285652160645,103.17915344238281,101.93442487716675,2.4007990440004505,-1,-1.0,0.98046875,512,4,32,nan,nan,0,0.341796875,bool_int,39,0
dlgn_anneal,parity8,2,0.234375,0.453125,0.21875,16.773540496826172,182.88832092285156,166.1147804260254,0.234375,0.453125,0.21875,16.773540496826172,182.88832092285156,166.1147804260254,2.576349137001671,-1,-1.0,0.98046875,512,4,32,nan,nan,0,0.3125,bool_int,39,0
gumbel_st,parity8,2,0.484375,0.546875,0.0625,10.452003479003906,229.7524871826172,219.30048370361328,0.484375,0.546875,0.0625,10.452003479003906,229.7524871826172,219.30048370361328,2.5424138969974592,-1,-1.0,0.9921875,512,4,32,nan,nan,0,0.31640625,bool_int,39,0
hard_st_cage,parity8,2,0.515625,0.4375,0.078125,7.833793640136719,95.42080688476562,87.5870132446289,0.4375,0.4375,0.0,95.42080688476562,95.42080688476562,0.0,2.5324506899924017,-1,-1.0,0.990234375,512,4,32,nan,nan,0,0.38671875,bool_int,39,0
block_relaxed,parity8,2,0.5,0.5,0.0,0.7528335452079773,134.46163940429688,133.7088058590889,0.5,0.5,0.0,0.7528335452079773,134.46163940429688,133.7088058590889,0.7145429269876331,-1,-1.0,0.98046875,512,4,32,nan,nan,0,0.34375,bool_int,39,0
block_hard_refit,parity8,2,0.515625,0.5,0.015625,6.189878940582275,84.50496673583984,78.31508779525757,0.40625,0.5,0.09375,14.290227890014648,84.50496673583984,70.2147388458252,0.7564550410024822,-1,-1.0,0.990234375,512,4,32,nan,nan,0,0.3671875,bool_int,39,0
block_hard_task_refit,parity8,2,0.515625,0.5,0.015625,27.462982177734375,47.13492965698242,19.671947479248047,0.453125,0.5,0.046875,15.903496742248535,47.13492965698242,31.231432914733887,2.820871183008421,-1,-1.0,0.984375,512,4,32,nan,nan,0,0.423828125,bool_int,39,0
dlgn,majority9,2,1.0,0.75,0.25,0.013407548889517784,93.0283203125,93.01491276361048,1.0,0.75,0.25,0.013407548889517784,93.0283203125,93.01491276361048,4.012287495977944,-1,-1.0,0.9296875,512,4,29,nan,nan,0,0.23046875,bool_int,39,0
dlgn_anneal,majority9,2,1.0,0.8828125,0.1171875,0.0,23.45915985107422,23.45915985107422,1.0,0.8828125,0.1171875,0.0,23.45915985107422,23.45915985107422,4.817543632001616,-1,-1.0,0.919921875,512,4,29,nan,nan,0,0.19140625,bool_int,39,0
gumbel_st,majority9,2,0.5078125,0.5625,0.0546875,13.667110443115234,196.89125061035156,183.22414016723633,0.5078125,0.5625,0.0546875,13.667110443115234,196.89125061035156,183.22414016723633,4.130438977008453,-1,-1.0,0.9921875,512,4,29,nan,nan,0,0.3359375,bool_int,39,0
hard_st_cage,majority9,2,0.4921875,0.75,0.2578125,14.644031524658203,20.399141311645508,5.755109786987305,0.75,0.75,0.0,20.399141311645508,20.399141311645508,0.0,4.168318331008777,-1,-1.0,0.96875,512,4,29,nan,nan,0,0.470703125,bool_int,39,0
block_relaxed,majority9,2,0.53125,0.5078125,0.0234375,0.8413811922073364,139.15997314453125,138.3185919523239,0.53125,0.5078125,0.0234375,0.8413811922073364,139.15997314453125,138.3185919523239,1.1704216670186725,-1,-1.0,0.978515625,512,4,29,nan,nan,0,0.37109375,bool_int,39,0
block_hard_refit,majority9,2,0.4921875,0.75,0.2578125,26.402523040771484,47.69415283203125,21.291629791259766,0.8984375,0.75,0.1484375,2.6340150833129883,47.69415283203125,45.06013774871826,1.418592644011369,-1,-1.0,0.984375,512,4,29,nan,nan,0,0.30078125,bool_int,39,0
block_hard_task_refit,majority9,2,0.4921875,0.609375,0.1171875,34.84516906738281,22.87285804748535,11.972311019897461,0.9140625,0.609375,0.3046875,1.8830047845840454,22.87285804748535,20.989853262901306,3.3589105950086378,-1,-1.0,0.98046875,512,4,29,nan,nan,0,0.392578125,bool_int,39,0
dlgn,random_sparse10,2,1.0,0.71484375,0.28515625,0.0016889629187062383,63.73686218261719,63.73517321969848,1.0,0.71484375,0.28515625,0.0016889629187062383,63.73686218261719,63.73517321969848,7.732958477019565,-1,-1.0,0.900390625,512,4,26,nan,nan,0,0.23046875,bool_int,39,0
dlgn_anneal,random_sparse10,2,0.99609375,0.78125,0.21484375,0.004447361920028925,50.0460319519043,50.04158458998427,0.99609375,0.78125,0.21484375,0.004447361920028925,50.0460319519043,50.04158458998427,9.390154548018472,-1,-1.0,0.876953125,512,4,26,nan,nan,0,0.224609375,bool_int,39,0
gumbel_st,random_sparse10,2,0.47265625,0.52734375,0.0546875,14.50642204284668,155.14309692382812,140.63667488098145,0.47265625,0.52734375,0.0546875,14.50642204284668,155.14309692382812,140.63667488098145,8.24865680799121,-1,-1.0,0.994140625,512,4,26,nan,nan,0,0.365234375,bool_int,39,0
hard_st_cage,random_sparse10,2,0.52734375,0.98046875,0.453125,6.118668079376221,1.9747858047485352,4.1438822746276855,0.98046875,0.98046875,0.0,1.9747858047485352,1.9747858047485352,0.0,7.952722192014335,59,3.9200806510052644,0.900390625,512,4,26,nan,nan,0,0.322265625,bool_int,39,0
block_relaxed,random_sparse10,2,0.47265625,0.39453125,0.078125,0.8934048414230347,229.32666015625,228.43325531482697,0.47265625,0.39453125,0.078125,0.8934048414230347,229.32666015625,228.43325531482697,2.221385554992594,-1,-1.0,0.986328125,512,4,26,nan,nan,0,0.318359375,bool_int,39,0
block_hard_refit,random_sparse10,2,0.47265625,0.75390625,0.28125,2.5414023399353027,48.516021728515625,45.97461938858032,0.875,0.75390625,0.12109375,2.84555983543396,48.516021728515625,45.670461893081665,2.27628246700624,-1,-1.0,0.9921875,512,4,26,nan,nan,0,0.302734375,bool_int,39,0
block_hard_task_refit,random_sparse10,2,0.52734375,0.6953125,0.16796875,27.488590240478516,14.354920387268066,13.13366985321045,0.87890625,0.6953125,0.18359375,0.9687762260437012,14.354920387268066,13.386144161224365,4.36361912699067,-1,-1.0,0.98828125,512,4,26,nan,nan,0,0.466796875,bool_int,39,0
