method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
block_hard_refit,random_sparse10,0,full_soft_vs_discrete,0,1,0.3932049870491028,0.4999208450317383,0.16030025482177734,0.0,0.0,0.21875
block_hard_refit,random_sparse10,0,full_soft_vs_discrete,1,2,0.4608209431171417,0.6245591640472412,0.21542255580425262,0.220123291015625,0.0,0.328125
block_hard_refit,random_sparse10,0,full_soft_vs_discrete,2,3,0.47081485390663147,0.6144254207611084,0.22425495088100433,0.283447265625,0.0,0.453125
block_hard_refit,random_sparse10,0,full_soft_vs_discrete,3,4,0.4699975252151489,0.6529368162155151,0.22433170676231384,0.304046630859375,0.0,0.5
block_hard_refit,random_sparse10,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.21875,0.21875
block_hard_refit,random_sparse10,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.328125,0.328125
block_hard_refit,random_sparse10,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.453125,0.453125
block_hard_refit,random_sparse10,0,path_soft_vs_discrete,3,4,0.4047847390174866,0.49989694356918335,0.1689087599515915,0.0,0.203125,0.5
block_hard_task_refit,random_sparse10,0,full_soft_vs_discrete,0,1,0.4194142520427704,0.7954572439193726,0.18650951981544495,0.152008056640625,0.0,0.2265625
block_hard_task_refit,random_sparse10,0,full_soft_vs_discrete,1,2,0.46682170033454895,0.6774009466171265,0.22134840488433838,0.27825927734375,0.0,0.4140625
block_hard_task_refit,random_sparse10,0,full_soft_vs_discrete,2,3,0.4767412841320038,0.6184908747673035,0.23015259206295013,0.34991455078125,0.0,0.5859375
block_hard_task_refit,random_sparse10,0,full_soft_vs_discrete,3,4,0.47351741790771484,0.6736337542533875,0.2280234545469284,0.327423095703125,0.0,0.7421875
block_hard_task_refit,random_sparse10,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.2265625,0.2265625
block_hard_task_refit,random_sparse10,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.4140625,0.4140625
block_hard_task_refit,random_sparse10,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.5859375,0.5859375
block_hard_task_refit,random_sparse10,0,path_soft_vs_discrete,3,4,0.4199424088001251,0.8367824554443359,0.18545272946357727,0.109039306640625,0.3515625,0.7421875
dlgn,parity8,1,full_soft_vs_discrete,0,1,0.38259357213974,0.6313692927360535,0.15815339982509613,0.12939453125,0.0,0.1484375
dlgn,parity8,1,full_soft_vs_discrete,1,2,0.4656646251678467,0.6401296854019165,0.22074458003044128,0.288818359375,0.0,0.2734375
dlgn,parity8,1,full_soft_vs_discrete,2,3,0.47260645031929016,0.684123158454895,0.22725994884967804,0.3192138671875,0.0,0.34375
dlgn,parity8,1,full_soft_vs_discrete,3,4,0.4715193212032318,0.6845433115959167,0.22631652653217316,0.328857421875,0.0,0.359375
dlgn_anneal,parity8,1,full_soft_vs_discrete,0,1,0.15949447453022003,0.7114769220352173,0.052487339824438095,0.0333251953125,0.0,0.1171875
dlgn_anneal,parity8,1,full_soft_vs_discrete,1,2,0.26284876465797424,0.786531925201416,0.09868374466896057,0.0994873046875,0.0,0.2265625
dlgn_anneal,parity8,1,full_soft_vs_discrete,2,3,0.3038962781429291,0.8197449445724487,0.12389031052589417,0.14306640625,0.0,0.3125
